age_band,sex,pal,kcal_per_day,matched_kcal_level,pyramid_group,subitem,kcal_per_portion,portion_type,portion_low,portion_high,portion_point_estimate
10-13,male,moderate,2027.5,2000,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
10-13,male,moderate,2027.5,2000,Grain products & potatoes,(total),,range,9.0,10.0,9.5
10-13,male,moderate,2027.5,2000,Grain products & potatoes,High-fibre bread/baked goods,75,range,4.0,5.0,4.5
10-13,male,moderate,2027.5,2000,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,4.0,3.5
10-13,male,moderate,2027.5,2000,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
10-13,male,moderate,2027.5,2000,Dairy products,(total),110,range,2.0,3.0,2.5
10-13,male,moderate,2027.5,2000,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
10-13,male,moderate,2027.5,2000,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
10-13,male,moderate,2027.5,2000,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
10-13,male,moderate,2027.5,2000,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
10-13,male,moderate,2027.5,2000,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
10-13,male,moderate,2027.5,2000,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
10-13,male,moderate,2027.5,2000,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
10-13,male,moderate,2027.5,2000,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
10-13,male,moderate,2027.5,2000,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
10-13,male,moderate,2027.5,2000,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
10-13,male,active,2285.0,2200,"Vegetables, fruits & berries",(total),,gte,8.0,,8.0
10-13,male,active,2285.0,2200,"Vegetables, fruits & berries",Vegetables,30,gte,5.0,,5.0
10-13,male,active,2285.0,2200,"Vegetables, fruits & berries",Legumes,130,exact,0.6,0.6,0.6
10-13,male,active,2285.0,2200,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
10-13,male,active,2285.0,2200,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
10-13,male,active,2285.0,2200,Grain products & potatoes,(total),,range,8.0,11.0,9.5
10-13,male,active,2285.0,2200,Grain products & potatoes,High-fibre bread/baked goods,75,range,4.0,5.0,4.5
10-13,male,active,2285.0,2200,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,4.0,3.5
10-13,male,active,2285.0,2200,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
10-13,male,active,2285.0,2200,Dairy products,(total),110,range,2.0,3.0,2.5
10-13,male,active,2285.0,2200,"Nuts, seeds, oils & fats",(total),,range,6.0,7.0,6.5
10-13,male,active,2285.0,2200,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
10-13,male,active,2285.0,2200,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
10-13,male,active,2285.0,2200,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
10-13,male,active,2285.0,2200,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
10-13,male,active,2285.0,2200,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
10-13,male,active,2285.0,2200,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
10-13,male,active,2285.0,2200,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
10-13,male,active,2285.0,2200,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
10-13,male,active,2285.0,2200,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
10-13,female,sedentary,1660.0,1600,"Vegetables, fruits & berries",(total),,gte,6.0,,6.0
10-13,female,sedentary,1660.0,1600,"Vegetables, fruits & berries",Vegetables,30,gte,3.0,,3.0
10-13,female,sedentary,1660.0,1600,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
10-13,female,sedentary,1660.0,1600,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
10-13,female,sedentary,1660.0,1600,"Vegetables, fruits & berries",Berries,50,gte,0.3,,0.3
10-13,female,sedentary,1660.0,1600,Grain products & potatoes,(total),,range,7.0,8.0,7.5
10-13,female,sedentary,1660.0,1600,Grain products & potatoes,High-fibre bread/baked goods,75,range,3.0,4.0,3.5
10-13,female,sedentary,1660.0,1600,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
10-13,female,sedentary,1660.0,1600,Grain products & potatoes,"Potato, sweet potato",75,exact,1.0,1.0,1.0
10-13,female,sedentary,1660.0,1600,Dairy products,(total),110,range,2.0,3.0,2.5
10-13,female,sedentary,1660.0,1600,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
10-13,female,sedentary,1660.0,1600,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
10-13,female,sedentary,1660.0,1600,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.3,0.3,0.3
10-13,female,sedentary,1660.0,1600,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
10-13,female,sedentary,1660.0,1600,"Fish, eggs & meat",(total),,exact,3.0,3.0,3.0
10-13,female,sedentary,1660.0,1600,"Fish, eggs & meat",Fish & seafood,80,range,1.0,1.5,1.25
10-13,female,sedentary,1660.0,1600,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
10-13,female,sedentary,1660.0,1600,"Fish, eggs & meat",Poultry,80,exact,0.7,0.7,0.7
10-13,female,sedentary,1660.0,1600,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
10-13,female,sedentary,1660.0,1600,"Sweets, snacks & discretionary",(total),40,lte,,2.0,2.0
10-13,female,moderate,1900.0,2000,"Vegetables, fruits & berries",(total),,gte,7.0,,7.0
10-13,female,moderate,1900.0,2000,"Vegetables, fruits & berries",Vegetables,30,gte,4.0,,4.0
10-13,female,moderate,1900.0,2000,"Vegetables, fruits & berries",Legumes,130,exact,0.5,0.5,0.5
10-13,female,moderate,1900.0,2000,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
10-13,female,moderate,1900.0,2000,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
10-13,female,moderate,1900.0,2000,Grain products & potatoes,(total),,range,9.0,10.0,9.5
10-13,female,moderate,1900.0,2000,Grain products & potatoes,High-fibre bread/baked goods,75,range,4.0,5.0,4.5
10-13,female,moderate,1900.0,2000,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,4.0,3.5
10-13,female,moderate,1900.0,2000,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
10-13,female,moderate,1900.0,2000,Dairy products,(total),110,range,2.0,3.0,2.5
10-13,female,moderate,1900.0,2000,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
10-13,female,moderate,1900.0,2000,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
10-13,female,moderate,1900.0,2000,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
10-13,female,moderate,1900.0,2000,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
10-13,female,moderate,1900.0,2000,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
10-13,female,moderate,1900.0,2000,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
10-13,female,moderate,1900.0,2000,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
10-13,female,moderate,1900.0,2000,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
10-13,female,moderate,1900.0,2000,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
10-13,female,moderate,1900.0,2000,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
10-13,female,active,2137.5,2200,"Vegetables, fruits & berries",(total),,gte,8.0,,8.0
10-13,female,active,2137.5,2200,"Vegetables, fruits & berries",Vegetables,30,gte,5.0,,5.0
10-13,female,active,2137.5,2200,"Vegetables, fruits & berries",Legumes,130,exact,0.6,0.6,0.6
10-13,female,active,2137.5,2200,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
10-13,female,active,2137.5,2200,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
10-13,female,active,2137.5,2200,Grain products & potatoes,(total),,range,8.0,11.0,9.5
10-13,female,active,2137.5,2200,Grain products & potatoes,High-fibre bread/baked goods,75,range,4.0,5.0,4.5
10-13,female,active,2137.5,2200,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,4.0,3.5
10-13,female,active,2137.5,2200,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
10-13,female,active,2137.5,2200,Dairy products,(total),110,range,2.0,3.0,2.5
10-13,female,active,2137.5,2200,"Nuts, seeds, oils & fats",(total),,range,6.0,7.0,6.5
10-13,female,active,2137.5,2200,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
10-13,female,active,2137.5,2200,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
10-13,female,active,2137.5,2200,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
10-13,female,active,2137.5,2200,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
10-13,female,active,2137.5,2200,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
10-13,female,active,2137.5,2200,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
10-13,female,active,2137.5,2200,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
10-13,female,active,2137.5,2200,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
10-13,female,active,2137.5,2200,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
14-17,male,sedentary,2222.5,2200,"Vegetables, fruits & berries",(total),,gte,8.0,,8.0
14-17,male,sedentary,2222.5,2200,"Vegetables, fruits & berries",Vegetables,30,gte,5.0,,5.0
14-17,male,sedentary,2222.5,2200,"Vegetables, fruits & berries",Legumes,130,exact,0.6,0.6,0.6
14-17,male,sedentary,2222.5,2200,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
14-17,male,sedentary,2222.5,2200,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
14-17,male,sedentary,2222.5,2200,Grain products & potatoes,(total),,range,8.0,11.0,9.5
14-17,male,sedentary,2222.5,2200,Grain products & potatoes,High-fibre bread/baked goods,75,range,4.0,5.0,4.5
14-17,male,sedentary,2222.5,2200,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,4.0,3.5
14-17,male,sedentary,2222.5,2200,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
14-17,male,sedentary,2222.5,2200,Dairy products,(total),110,range,2.0,3.0,2.5
14-17,male,sedentary,2222.5,2200,"Nuts, seeds, oils & fats",(total),,range,6.0,7.0,6.5
14-17,male,sedentary,2222.5,2200,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
14-17,male,sedentary,2222.5,2200,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
14-17,male,sedentary,2222.5,2200,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
14-17,male,sedentary,2222.5,2200,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
14-17,male,sedentary,2222.5,2200,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
14-17,male,sedentary,2222.5,2200,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
14-17,male,sedentary,2222.5,2200,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
14-17,male,sedentary,2222.5,2200,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
14-17,male,sedentary,2222.5,2200,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
14-17,male,moderate,2532.5,2600,"Vegetables, fruits & berries",(total),,gte,10.0,,10.0
14-17,male,moderate,2532.5,2600,"Vegetables, fruits & berries",Vegetables,30,gte,6.0,,6.0
14-17,male,moderate,2532.5,2600,"Vegetables, fruits & berries",Legumes,130,exact,0.7,0.7,0.7
14-17,male,moderate,2532.5,2600,"Vegetables, fruits & berries",Fruits,50,gte,3.0,,3.0
14-17,male,moderate,2532.5,2600,"Vegetables, fruits & berries",Berries,50,gte,0.5,,0.5
14-17,male,moderate,2532.5,2600,Grain products & potatoes,(total),,range,12.0,13.0,12.5
14-17,male,moderate,2532.5,2600,Grain products & potatoes,High-fibre bread/baked goods,75,range,5.0,6.0,5.5
14-17,male,moderate,2532.5,2600,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,4.0,5.0,4.5
14-17,male,moderate,2532.5,2600,Grain products & potatoes,"Potato, sweet potato",75,exact,2.0,2.0,2.0
14-17,male,moderate,2532.5,2600,Dairy products,(total),110,range,2.0,3.0,2.5
14-17,male,moderate,2532.5,2600,"Nuts, seeds, oils & fats",(total),,range,8.0,9.0,8.5
14-17,male,moderate,2532.5,2600,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
14-17,male,moderate,2532.5,2600,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
14-17,male,moderate,2532.5,2600,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,5.0,6.0,5.5
14-17,male,moderate,2532.5,2600,"Fish, eggs & meat",(total),,range,4.0,5.0,4.5
14-17,male,moderate,2532.5,2600,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
14-17,male,moderate,2532.5,2600,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
14-17,male,moderate,2532.5,2600,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
14-17,male,moderate,2532.5,2600,"Fish, eggs & meat",Red meat,80,lte,,0.6,0.6
14-17,male,moderate,2532.5,2600,"Sweets, snacks & discretionary",(total),40,lte,,5.0,5.0
14-17,male,active,2852.5,2800,"Vegetables, fruits & berries",(total),,gte,11.0,,11.0
14-17,male,active,2852.5,2800,"Vegetables, fruits & berries",Vegetables,30,gte,6.0,,6.0
14-17,male,active,2852.5,2800,"Vegetables, fruits & berries",Legumes,130,exact,0.7,0.7,0.7
14-17,male,active,2852.5,2800,"Vegetables, fruits & berries",Fruits,50,gte,3.0,,3.0
14-17,male,active,2852.5,2800,"Vegetables, fruits & berries",Berries,50,gte,0.5,,0.5
14-17,male,active,2852.5,2800,Grain products & potatoes,(total),,range,12.0,13.0,12.5
14-17,male,active,2852.5,2800,Grain products & potatoes,High-fibre bread/baked goods,75,range,5.0,6.0,5.5
14-17,male,active,2852.5,2800,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,4.0,5.0,4.5
14-17,male,active,2852.5,2800,Grain products & potatoes,"Potato, sweet potato",75,range,2.0,3.0,2.5
14-17,male,active,2852.5,2800,Dairy products,(total),110,range,3.0,4.0,3.5
14-17,male,active,2852.5,2800,"Nuts, seeds, oils & fats",(total),,range,8.0,9.0,8.5
14-17,male,active,2852.5,2800,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
14-17,male,active,2852.5,2800,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.6,0.6,0.6
14-17,male,active,2852.5,2800,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,5.0,6.0,5.5
14-17,male,active,2852.5,2800,"Fish, eggs & meat",(total),,range,4.0,5.0,4.5
14-17,male,active,2852.5,2800,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
14-17,male,active,2852.5,2800,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
14-17,male,active,2852.5,2800,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
14-17,male,active,2852.5,2800,"Fish, eggs & meat",Red meat,80,lte,,0.6,0.6
14-17,male,active,2852.5,2800,"Sweets, snacks & discretionary",(total),40,lte,,5.0,5.0
14-17,female,sedentary,1885.0,1800,"Vegetables, fruits & berries",(total),,gte,6.0,,6.0
14-17,female,sedentary,1885.0,1800,"Vegetables, fruits & berries",Vegetables,30,gte,4.0,,4.0
14-17,female,sedentary,1885.0,1800,"Vegetables, fruits & berries",Legumes,130,exact,0.3,0.3,0.3
14-17,female,sedentary,1885.0,1800,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
14-17,female,sedentary,1885.0,1800,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
14-17,female,sedentary,1885.0,1800,Grain products & potatoes,(total),,range,9.0,10.0,9.5
14-17,female,sedentary,1885.0,1800,Grain products & potatoes,High-fibre bread/baked goods,75,range,3.0,4.0,3.5
14-17,female,sedentary,1885.0,1800,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,2.0,3.0,2.5
14-17,female,sedentary,1885.0,1800,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
14-17,female,sedentary,1885.0,1800,Dairy products,(total),110,range,2.0,3.0,2.5
14-17,female,sedentary,1885.0,1800,"Nuts, seeds, oils & fats",(total),,range,5.0,6.0,5.5
14-17,female,sedentary,1885.0,1800,"Nuts, seeds, oils & fats",Nuts,90,range,1.0,2.0,1.5
14-17,female,sedentary,1885.0,1800,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.3,0.3,0.3
14-17,female,sedentary,1885.0,1800,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
14-17,female,sedentary,1885.0,1800,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
14-17,female,sedentary,1885.0,1800,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
14-17,female,sedentary,1885.0,1800,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
14-17,female,sedentary,1885.0,1800,"Fish, eggs & meat",Poultry,80,exact,0.9,0.9,0.9
14-17,female,sedentary,1885.0,1800,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
14-17,female,sedentary,1885.0,1800,"Sweets, snacks & discretionary",(total),40,lte,,3.0,3.0
14-17,female,moderate,2155.0,2200,"Vegetables, fruits & berries",(total),,gte,8.0,,8.0
14-17,female,moderate,2155.0,2200,"Vegetables, fruits & berries",Vegetables,30,gte,5.0,,5.0
14-17,female,moderate,2155.0,2200,"Vegetables, fruits & berries",Legumes,130,exact,0.6,0.6,0.6
14-17,female,moderate,2155.0,2200,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
14-17,female,moderate,2155.0,2200,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
14-17,female,moderate,2155.0,2200,Grain products & potatoes,(total),,range,8.0,11.0,9.5
14-17,female,moderate,2155.0,2200,Grain products & potatoes,High-fibre bread/baked goods,75,range,4.0,5.0,4.5
14-17,female,moderate,2155.0,2200,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,4.0,3.5
14-17,female,moderate,2155.0,2200,Grain products & potatoes,"Potato, sweet potato",75,range,1.0,2.0,1.5
14-17,female,moderate,2155.0,2200,Dairy products,(total),110,range,2.0,3.0,2.5
14-17,female,moderate,2155.0,2200,"Nuts, seeds, oils & fats",(total),,range,6.0,7.0,6.5
14-17,female,moderate,2155.0,2200,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
14-17,female,moderate,2155.0,2200,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
14-17,female,moderate,2155.0,2200,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,3.0,4.0,3.5
14-17,female,moderate,2155.0,2200,"Fish, eggs & meat",(total),,range,3.0,4.0,3.5
14-17,female,moderate,2155.0,2200,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
14-17,female,moderate,2155.0,2200,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
14-17,female,moderate,2155.0,2200,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
14-17,female,moderate,2155.0,2200,"Fish, eggs & meat",Red meat,80,exact,0.5,0.5,0.5
14-17,female,moderate,2155.0,2200,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
14-17,female,active,2425.0,2400,"Vegetables, fruits & berries",(total),,gte,8.0,,8.0
14-17,female,active,2425.0,2400,"Vegetables, fruits & berries",Vegetables,30,gte,5.0,,5.0
14-17,female,active,2425.0,2400,"Vegetables, fruits & berries",Legumes,130,exact,0.6,0.6,0.6
14-17,female,active,2425.0,2400,"Vegetables, fruits & berries",Fruits,50,gte,2.0,,2.0
14-17,female,active,2425.0,2400,"Vegetables, fruits & berries",Berries,50,gte,0.4,,0.4
14-17,female,active,2425.0,2400,Grain products & potatoes,(total),,range,11.0,12.0,11.5
14-17,female,active,2425.0,2400,Grain products & potatoes,High-fibre bread/baked goods,75,range,5.0,6.0,5.5
14-17,female,active,2425.0,2400,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,3.0,5.0,4.0
14-17,female,active,2425.0,2400,Grain products & potatoes,"Potato, sweet potato",75,exact,2.0,2.0,2.0
14-17,female,active,2425.0,2400,Dairy products,(total),110,range,2.0,3.0,2.5
14-17,female,active,2425.0,2400,"Nuts, seeds, oils & fats",(total),,range,7.0,8.0,7.5
14-17,female,active,2425.0,2400,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
14-17,female,active,2425.0,2400,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
14-17,female,active,2425.0,2400,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,4.0,5.0,4.5
14-17,female,active,2425.0,2400,"Fish, eggs & meat",(total),,range,4.0,5.0,4.5
14-17,female,active,2425.0,2400,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
14-17,female,active,2425.0,2400,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
14-17,female,active,2425.0,2400,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
14-17,female,active,2425.0,2400,"Fish, eggs & meat",Red meat,80,lte,,0.6,0.6
14-17,female,active,2425.0,2400,"Sweets, snacks & discretionary",(total),40,lte,,4.0,4.0
18-24,male,sedentary,2500.0,2600,"Vegetables, fruits & berries",(total),,gte,10.0,,10.0
18-24,male,sedentary,2500.0,2600,"Vegetables, fruits & berries",Vegetables,30,gte,6.0,,6.0
18-24,male,sedentary,2500.0,2600,"Vegetables, fruits & berries",Legumes,130,exact,0.7,0.7,0.7
18-24,male,sedentary,2500.0,2600,"Vegetables, fruits & berries",Fruits,50,gte,3.0,,3.0
18-24,male,sedentary,2500.0,2600,"Vegetables, fruits & berries",Berries,50,gte,0.5,,0.5
18-24,male,sedentary,2500.0,2600,Grain products & potatoes,(total),,range,12.0,13.0,12.5
18-24,male,sedentary,2500.0,2600,Grain products & potatoes,High-fibre bread/baked goods,75,range,5.0,6.0,5.5
18-24,male,sedentary,2500.0,2600,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,4.0,5.0,4.5
18-24,male,sedentary,2500.0,2600,Grain products & potatoes,"Potato, sweet potato",75,exact,2.0,2.0,2.0
18-24,male,sedentary,2500.0,2600,Dairy products,(total),110,range,2.0,3.0,2.5
18-24,male,sedentary,2500.0,2600,"Nuts, seeds, oils & fats",(total),,range,8.0,9.0,8.5
18-24,male,sedentary,2500.0,2600,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
18-24,male,sedentary,2500.0,2600,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.5,0.5,0.5
18-24,male,sedentary,2500.0,2600,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,5.0,6.0,5.5
18-24,male,sedentary,2500.0,2600,"Fish, eggs & meat",(total),,range,4.0,5.0,4.5
18-24,male,sedentary,2500.0,2600,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
18-24,male,sedentary,2500.0,2600,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
18-24,male,sedentary,2500.0,2600,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
18-24,male,sedentary,2500.0,2600,"Fish, eggs & meat",Red meat,80,lte,,0.6,0.6
18-24,male,sedentary,2500.0,2600,"Sweets, snacks & discretionary",(total),40,lte,,5.0,5.0
18-24,male,moderate,2800.0,2800,"Vegetables, fruits & berries",(total),,gte,11.0,,11.0
18-24,male,moderate,2800.0,2800,"Vegetables, fruits & berries",Vegetables,30,gte,6.0,,6.0
18-24,male,moderate,2800.0,2800,"Vegetables, fruits & berries",Legumes,130,exact,0.7,0.7,0.7
18-24,male,moderate,2800.0,2800,"Vegetables, fruits & berries",Fruits,50,gte,3.0,,3.0
18-24,male,moderate,2800.0,2800,"Vegetables, fruits & berries",Berries,50,gte,0.5,,0.5
18-24,male,moderate,2800.0,2800,Grain products & potatoes,(total),,range,12.0,13.0,12.5
18-24,male,moderate,2800.0,2800,Grain products & potatoes,High-fibre bread/baked goods,75,range,5.0,6.0,5.5
18-24,male,moderate,2800.0,2800,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,4.0,5.0,4.5
18-24,male,moderate,2800.0,2800,Grain products & potatoes,"Potato, sweet potato",75,range,2.0,3.0,2.5
18-24,male,moderate,2800.0,2800,Dairy products,(total),110,range,3.0,4.0,3.5
18-24,male,moderate,2800.0,2800,"Nuts, seeds, oils & fats",(total),,range,8.0,9.0,8.5
18-24,male,moderate,2800.0,2800,"Nuts, seeds, oils & fats",Nuts,90,range,2.0,3.0,2.5
18-24,male,moderate,2800.0,2800,"Nuts, seeds, oils & fats","Seeds, cocoa",50,exact,0.6,0.6,0.6
18-24,male,moderate,2800.0,2800,"Nuts, seeds, oils & fats",Oils/fats/spreads,50,range,5.0,6.0,5.5
18-24,male,moderate,2800.0,2800,"Fish, eggs & meat",(total),,range,4.0,5.0,4.5
18-24,male,moderate,2800.0,2800,"Fish, eggs & meat",Fish & seafood,80,range,1.0,2.0,1.5
18-24,male,moderate,2800.0,2800,"Fish, eggs & meat",Eggs,80,exact,0.5,0.5,0.5
18-24,male,moderate,2800.0,2800,"Fish, eggs & meat",Poultry,80,exact,1.0,1.0,1.0
18-24,male,moderate,2800.0,2800,"Fish, eggs & meat",Red meat,80,lte,,0.6,0.6
18-24,male,moderate,2800.0,2800,"Sweets, snacks & discretionary",(total),40,lte,,5.0,5.0
18-24,male,active,3150.0,3200,"Vegetables, fruits & berries",(total),,gte,12.0,,12.0
18-24,male,active,3150.0,3200,"Vegetables, fruits & berries",Vegetables,30,gte,7.0,,7.0
18-24,male,active,3150.0,3200,"Vegetables, fruits & berries",Legumes,130,exact,0.8,0.8,0.8
18-24,male,active,3150.0,3200,"Vegetables, fruits & berries",Fruits,50,gte,3.0,,3.0
18-24,male,active,3150.0,3200,"Vegetables, fruits & berries",Berries,50,gte,0.6,,0.6
18-24,male,active,3150.0,3200,Grain products & potatoes,(total),,range,14.0,15.0,14.5
18-24,male,active,3150.0,3200,Grain products & potatoes,High-fibre bread/baked goods,75,range,6.0,7.0,6.5
18-24,male,active,3150.0,3200,Grain products & potatoes,Porridges/pasta/rice/grain products,75,range,5.0,6.0,5.5
18-24,male,active,3150.0,3200,Grain products & potatoes,"Potato, sweet potato",75,range,2.0,3.0,2.5
18-24,male,active,3150.0,3200,Dairy products,(total),110,range,3.0,4.0,3.5
